序號,欄位名稱 (Column Name),變數單位 (Unit),數值範圍 (Range),數據類型,實際物理與研究意義 (白話說明)
1,Zone_ID,無,-1 或 0 ~ 6,共有欄位,目標鼓組編號。代表受試者「本來應該」要打哪個鼓。實戰 Demo 中預設標記為 -1 (自由擊打)。
2,Zone_Name,無,繁體中文,共有欄位,鼓組的中文名稱（如：小鼓、高音中鼓、實戰Demo），方便對照。
3,Feature_Yaw,度 (Degree),-180.0 ~ 180.0,共有欄位,水平打擊角度：打擊瞬間，手套相對於正前方基準點的左右偏角。
4,Feature_Pitch,度 (Degree),-90.0 ~ 90.0,共有欄位,上下打擊角度：打擊瞬間，手套相對於基準點的上下俯仰高度角。
5,Feature_SwingDepth,度 (Degree),0.0 ~ 180.0,共有欄位,下砸起手幅度：這一下砸下去之前，手部抬起最高點到擊中點的角度差。
6,hardware_version,無,字母與數字,共有欄位,硬體與電路版本：當前分離供電版標註為 TypeCSeparated_1.0；便於跨硬體版本進行性能統計對比。
7,participant_id,無,P01 ~ P99,共有欄位,測試人員編號：標記這筆數據是哪一位測試者打出來的，用以消除個體習慣差異。
8,session_id,無,字母與數字,共有欄位,實驗場次 ID：格式為 S[日期]_[人員]_[硬體版]（如 S20260710_P01_TypeCSeparated），用於大批量實驗管理。
9,trial_id,無,字母與數字,共有欄位,測試輪次 ID：標記單次測試的輪次（如 T01_R_Snare_20hits），用以精確區分不同輪次的任務。
10,hit_id,無,數字累加,共有欄位,敲擊計數器：這隻手套在當前模式中，累計打出的第幾下。
11,hand,Char,L 或 R,共有欄位,手向標記：L 代表左手手套，R 代表右手手套。
12,timestamp_ms,毫秒 (ms),Unix時間戳,共有欄位,電腦接收時間：電腦端 Python 接收並解包完成該打擊的系統時間。
13,actual_hit_time_ms,毫秒 (ms),時間戳,共有欄位,手套物理打擊時間：擊中瞬間手套控制板（ESP32）計時器 millis() 的時間（不受網路干擾）。
14,inter_hit_interval_ms,毫秒 (ms),>= 0,共有欄位,連續兩下打擊間隔：這一下打擊與上一下打擊之間，間隔了多少毫秒。
15,predicted_zone,無,0 ~ 6,報告專屬,AI 預測鼓組 ID：打擊發生時，KNN 模型實時預測出的目標鼓位編號。
16,confidence,無,0.0 ~ 1.0,報告專屬,AI 預測置信度：機器學習算法對本次打擊落點預測的把握程度。